tag;task;description;pickup-priority;days;remarks;prompt
EDU;Read book;Design Patterns via C#. Приемы объектно-ориентированного проектирования.;0.2;3-5;;
DEV;Read article;http://forcoder.ru/c-sharp/c-sovety-programmistam-1298;0.2;1-2;;
DEV;Read article;http://forcoder.ru/net/optimizaciya-prilozheniy-na-platforme-net-1269;0.2;3-5;;
DEV;Read book;http://forcoder.ru/c-sharp/c-dlya-professionalov-tonkosti-programmirovaniya-1238;0.2;3-5;;
DEV;Read book;http://www.ozon.ru/context/detail/id/19916784/;0.2;3-5;;
DEV;Read book;http://scanlibs.com/linq-yazyik-integrirovannyih-zaprosov-v-c-2010-dlya-professionalov/;0.2;3-5;;
DEV;Read book;http://rutracker.org/forum/viewtopic.php?t=4892505;0.2;3-5;;
DEV;Read book;http://rutracker.org/forum/viewtopic.php?t=4181417;0.2;3-5;;
DEV;Read book;http://www.e-reading.club/book.php?book=134447;0.2;3-5;;
EDU;Read book;хватит быть славным парнем;0.2;3-5;;
EDU;Read book;Верховный алгоритм. Педро;0.2;3-5;;
EDU;Read book;Оливер Сакс - Человек, который принял свою жену за шляпу;0.2;3-5;;
EDU;Read book;Naked Statistics. Stripping the Dread from the Data / Голая статистика. Самая интересная книга о самой скучной науке;0.2;3-5;;
EDU;Read book;Naked Economics. Undressing the Dismal Science (Fully Revised and Updated) / Голая экономика. Разоблачение унылой науки;0.2;3-5;;
EDU;Read book;Naked Money. A Revealing Look at Our Financial System / Голые деньги. Откровенная книга о финансовой системе;0.2;3-5;;
EDU;Read book;Сингапурская история. Из «третьего мира» – в первый;0.2;3-5;;
EDU;Read book;о дивный новый мир;0.2;3-5;;
EDU;Read book;туманность андромеды;0.2;3-5;;
EDU;Read book;час быка;0.2;3-5;;
EDU;Read book;эдем;0.2;3-5;;
EDU;Read book;Book. Книга Пособие для иллюстратора;0.2;3-5;;
